file_name,tips_correct,tips_oob,root_overlay,thin_root,missing_tips,wrong_tips,obscured_roots
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected.png,True,False,False,False,False,False,False
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected.png,True,True,True,True,False,False,False
